meals_future_data_june_18_24_25.flight_number,meals_future_data_june_18_24_25.flight_boarding_pt,meals_future_data_june_18_24_25.flight_boarding_time,meals_future_data_june_18_24_25.destination,meals_future_data_june_18_24_25.menu_cycle,meals_future_data_june_18_24_25.itemcategory,meals_future_data_june_18_24_25.adults,meals_future_data_june_18_24_25.children,meals_future_data_june_18_24_25.elders,meals_future_data_june_18_24_25.middle aged,meals_future_data_june_18_24_25.teenagers,meals_future_data_june_18_24_25.unknown,meals_future_data_june_18_24_25.c,meals_future_data_june_18_24_25.f,meals_future_data_june_18_24_25.m,meals_future_data_june_18_24_25.unknown column,meals_future_data_june_18_24_25.africa,meals_future_data_june_18_24_25.americas,meals_future_data_june_18_24_25.asia,meals_future_data_june_18_24_25.europe,meals_future_data_june_18_24_25.oceania,meals_future_data_june_18_24_25.unknown country region,meals_future_data_june_18_24_25.unknown cuisine,meals_future_data_june_18_24_25.asian,meals_future_data_june_18_24_25.asian / japanese,meals_future_data_june_18_24_25.continental / european,meals_future_data_june_18_24_25.indian,meals_future_data_june_18_24_25.middle eastern,meals_future_data_june_18_24_25.middle eastern / gulf,meals_future_data_june_18_24_25.flight_boarding_time_conv,meals_future_data_june_18_24_25.year,meals_future_data_june_18_24_25.month,meals_future_data_june_18_24_25.quarter,meals_future_data_june_18_24_25.week,meals_future_data_june_18_24_25.day,meals_future_data_june_18_24_25.meal,meals_future_data_june_18_24_25.dishsubcategory,meals_future_data_june_18_24_25.pax_count
88,ZRH,2.01806E+11,HDX,C,Lunch,11,3,3,23,,2,2,13,27,,,,13,23,3,3,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Poultry,41
88,ZRH,2.01806E+11,HDX,C,Lunch,11,3,3,23,,2,2,13,27,,,,13,23,3,3,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Red Meat,41
88,ZRH,2.01806E+11,HDX,C,Lunch,11,3,3,23,,2,2,13,27,,,,13,23,3,3,1,0,0,0,0,0,0,25:00.0,2018,6,2,25,24,1,Seafood,41
74,CDG,2.01806E+11,GDX,C,Lunch,19,,4,47,,7,,23,54,,4,,47,11,7,8,0,0,0,1,0,0,0,35:00.0,2018,6,2,26,29,1,Seafood,77
74,CDG,2.01806E+11,GDX,C,Lunch,19,,4,47,,7,,23,54,,4,,47,11,7,8,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,29,1,Red Meat,77
74,CDG,2.01806E+11,GDX,C,Lunch,19,,4,47,,7,,23,54,,4,,47,11,7,8,1,0,0,0,0,0,0,35:00.0,2018,6,2,26,29,1,Poultry,77
50,MUC,2.01806E+11,CDX,C,Lunch,12,1,2,18,,6,1,12,26,,1,1,25,5,,7,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,29,1,Poultry,39
50,MUC,2.01806E+11,CDX,C,Lunch,12,1,2,18,,6,1,12,26,,1,1,25,5,,7,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,29,1,Red Meat,39
50,MUC,2.01806E+11,CDX,C,Lunch,12,1,2,18,,6,1,12,26,,1,1,25,5,,7,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,29,1,Seafood,39
704,MRU,2.01806E+11,UDX,C,Dinner,22,8,8,19,3,2,8,15,39,,7,4,5,42,2,2,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,26,1,Red Meat,62
704,MRU,2.01806E+11,UDX,C,Dinner,22,8,8,19,3,2,8,15,39,,7,4,5,42,2,2,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,26,1,Seafood,62
704,MRU,2.01806E+11,UDX,C,Dinner,22,8,8,19,3,2,8,15,39,,7,4,5,42,2,2,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,26,1,Poultry,62
30,LHR,2.01806E+11,RDX,C,Lunch,22,5,5,30,2,2,3,33,30,,7,1,31,23,2,2,1,0,0,0,0,0,0,55:00.0,2018,6,2,26,28,1,Poultry,64
30,LHR,2.01806E+11,RDX,C,Lunch,22,5,5,30,2,2,3,33,30,,7,1,31,23,2,2,1,0,0,0,0,0,0,55:00.0,2018,6,2,26,28,1,Seafood,64
30,LHR,2.01806E+11,RDX,C,Lunch,22,5,5,30,2,2,3,33,30,,7,1,31,23,2,2,1,0,0,0,0,0,0,55:00.0,2018,6,2,26,28,1,Red Meat,64
307,PEK,2.01806E+11,KDX,A,Dinner,20,2,10,55,,19,2,21,83,,19,1,43,21,3,19,0,0,0,0,0,1,0,40:00.0,2018,6,2,26,28,1,Poultry,106
307,PEK,2.01806E+11,KDX,A,Dinner,20,2,10,55,,19,2,21,83,,19,1,43,21,3,19,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,28,1,Seafood,106
307,PEK,2.01806E+11,KDX,A,Dinner,20,2,10,55,,19,2,21,83,,19,1,43,21,3,19,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,28,1,Red Meat,106
407,MEL,2.01806E+11,LDX,A,Dinner,8,4,23,40,3,,4,31,43,,,1,4,17,56,,1,0,0,0,0,0,0,25:00.0,2018,6,2,26,28,1,Red Meat,78
407,MEL,2.01806E+11,LDX,A,Dinner,8,4,23,40,3,,4,31,43,,,1,4,17,56,,0,0,0,1,0,0,0,25:00.0,2018,6,2,26,28,1,Poultry,78
407,MEL,2.01806E+11,LDX,A,Dinner,8,4,23,40,3,,4,31,43,,,1,4,17,56,,0,0,0,1,0,0,0,25:00.0,2018,6,2,26,28,1,Seafood,78
50,MUC,2.01806E+11,CDX,C,Lunch,11,2,6,20,1,13,2,19,32,,1,3,21,11,2,15,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,30,1,Poultry,53
50,MUC,2.01806E+11,CDX,C,Lunch,11,2,6,20,1,13,2,19,32,,1,3,21,11,2,15,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,30,1,Red Meat,53
50,MUC,2.01806E+11,CDX,C,Lunch,11,2,6,20,1,13,2,19,32,,1,3,21,11,2,15,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,30,1,Seafood,53
307,PEK,2.01806E+11,KDX,A,Dinner,29,1,4,37,,2,1,22,50,,4,12,26,28,,3,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,30,1,Red Meat,73
307,PEK,2.01806E+11,KDX,A,Dinner,29,1,4,37,,2,1,22,50,,4,12,26,28,,3,0,0,0,0,0,1,0,40:00.0,2018,6,2,26,30,1,Poultry,73
307,PEK,2.01806E+11,KDX,A,Dinner,29,1,4,37,,2,1,22,50,,4,12,26,28,,3,0,0,0,1,0,0,0,40:00.0,2018,6,2,26,30,1,Seafood,73
405,MEL,2.01806E+11,LSI,A,Lunch,15,5,15,40,7,7,4,32,53,,1,2,15,4,60,7,0,0,0,1,0,0,0,00:00.0,2018,6,2,25,24,1,Poultry,88
405,MEL,2.01806E+11,LSI,A,Lunch,15,5,15,40,7,7,4,32,53,,1,2,15,4,60,7,1,0,0,0,0,0,0,00:00.0,2018,6,2,25,24,1,Red Meat,88
405,MEL,2.01806E+11,LSI,A,Lunch,15,5,15,40,7,7,4,32,53,,1,2,15,4,60,7,0,0,0,1,0,0,0,00:00.0,2018,6,2,25,24,1,Seafood,88
405,MEL,2.01806E+11,LSI,A,Lunch,8,1,4,29,2,20,4,25,35,,,,,10,22,32,0,0,0,1,0,0,0,00:00.0,2018,6,2,26,29,1,Poultry,64
405,MEL,2.01806E+11,LSI,A,Lunch,8,1,4,29,2,20,4,25,35,,,,,10,22,32,1,0,0,0,0,0,0,00:00.0,2018,6,2,26,29,1,Red Meat,64
405,MEL,2.01806E+11,LSI,A,Lunch,8,1,4,29,2,20,4,25,35,,,,,10,22,32,0,0,0,1,0,0,0,00:00.0,2018,6,2,26,29,1,Seafood,64
704,MRU,2.01806E+11,UDX,C,Dinner,17,1,11,24,1,5,,21,38,,23,1,5,18,1,11,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,28,1,Seafood,58
704,MRU,2.01806E+11,UDX,C,Dinner,17,1,11,24,1,5,,21,38,,23,1,5,18,1,11,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,28,1,Poultry,58
704,MRU,2.01806E+11,UDX,C,Dinner,17,1,11,24,1,5,,21,38,,23,1,5,18,1,11,1,0,0,0,0,0,0,50:00.0,2018,6,2,26,28,1,Red Meat,58
29,DXB,2.01806E+11,BLH,C,Lunch,26,7,15,35,6,6,6,38,51,,12,4,24,29,20,6,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,28,1,Red Meat,94
29,DXB,2.01806E+11,BLH,C,Lunch,26,7,15,35,6,6,6,38,51,,12,4,24,29,20,6,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,28,1,Seafood,94
29,DXB,2.01806E+11,BLH,C,Lunch,26,7,15,35,6,6,6,38,51,,12,4,24,29,20,6,1,0,0,0,0,0,0,40:00.0,2018,6,2,26,28,1,Poultry,94
8,LHR,2.01806E+11,RDX,C,Lunch,21,1,17,45,1,10,,38,57,,1,2,20,45,16,11,1,0,0,0,0,0,0,05:00.0,2018,6,2,26,25,1,Red Meat,94
8,LHR,2.01806E+11,RDX,C,Lunch,21,1,17,45,1,10,,38,57,,1,2,20,45,16,11,1,0,0,0,0,0,0,05:00.0,2018,6,2,26,25,1,Poultry,94
8,LHR,2.01806E+11,RDX,C,Lunch,21,1,17,45,1,10,,38,57,,1,2,20,45,16,11,1,0,0,0,0,0,0,05:00.0,2018,6,2,26,25,1,Seafood,94
202,JFK,2.01806E+11,KDX,C,Lunch,21,4,4,46,5,,3,26,51,,1,30,39,8,,2,0,0,0,0,1,0,0,00:00.0,2018,6,2,25,24,1,Poultry,79
