flight_number,flight_boarding_pt,flight_boarding_time,destination,menu_cycle,itemcategory,Adults,Children,Elders,Middle Aged,Teenagers,C,F,M,Africa,Americas,Asia,China,Europe,Germany,Gulf,India,Indonesia,Iran,Italy,Japan,Mauritus,Northern Africa,Oceania,Thailand,null,asian / japanese,continental / european,indian,middle eastern,year,month,quarter,week,day,dayofweek,Meal,dishsubcategory,pax_count
74,CDG,6/23/2018 15:35,DXB,C,Lunch,22,3,12,44,4,1,31,60,,,16,2,29,,15,3,2,,,2,2,2,12,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,90
74,CDG,6/23/2018 15:35,DXB,C,Lunch,22,3,12,44,4,1,31,60,,,16,2,29,,15,3,2,,,2,2,2,12,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,90
74,CDG,6/23/2018 15:35,DXB,C,Lunch,22,3,12,44,4,1,31,60,,,16,2,29,,15,3,2,,,2,2,2,12,,,0,1,0,0,2018,6,2,25,23,5,1,Seafood,90
74,CDG,6/24/2018 15:35,DXB,C,Lunch,24,,12,47,2,,28,60,1,4,4,1,44,3,1,2,13,,,2,,,9,,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,88
74,CDG,6/24/2018 15:35,DXB,C,Lunch,24,,12,47,2,,28,60,1,4,4,1,44,3,1,2,13,,,2,,,9,,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,88
74,CDG,6/24/2018 15:35,DXB,C,Lunch,24,,12,47,2,,28,60,1,4,4,1,44,3,1,2,13,,,2,,,9,,,0,1,0,0,2018,6,2,25,24,6,1,Seafood,88
74,CDG,6/25/2018 15:35,DXB,C,Lunch,25,1,16,40,2,,34,56,6,2,7,1,42,3,1,6,3,,,2,,1,10,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,90
74,CDG,6/25/2018 15:35,DXB,C,Lunch,25,1,16,40,2,,34,56,6,2,7,1,42,3,1,6,3,,,2,,1,10,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,90
74,CDG,6/25/2018 15:35,DXB,C,Lunch,25,1,16,40,2,,34,56,6,2,7,1,42,3,1,6,3,,,2,,1,10,,,0,1,0,0,2018,6,2,26,25,0,1,Seafood,90
74,CDG,6/26/2018 15:35,DXB,C,Lunch,13,4,15,22,2,3,22,34,5,,11,3,13,,1,12,,,1,,,1,7,,,0,0,0,0,2018,6,2,26,26,1,1,Poultry,58
74,CDG,6/26/2018 15:35,DXB,C,Lunch,13,4,15,22,2,3,22,34,5,,11,3,13,,1,12,,,1,,,1,7,,,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,58
74,CDG,6/26/2018 15:35,DXB,C,Lunch,13,4,15,22,2,3,22,34,5,,11,3,13,,1,12,,,1,,,1,7,,,0,1,0,0,2018,6,2,26,26,1,1,Seafood,58
74,CDG,6/27/2018 15:35,DXB,C,Lunch,14,1,9,15,,1,14,32,,3,4,,8,,11,6,,,,,1,1,4,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,46
74,CDG,6/27/2018 15:35,DXB,C,Lunch,14,1,9,15,,1,14,32,,3,4,,8,,11,6,,,,,1,1,4,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,46
74,CDG,6/27/2018 15:35,DXB,C,Lunch,14,1,9,15,,1,14,32,,3,4,,8,,11,6,,,,,1,1,4,,,0,1,0,0,2018,6,2,26,27,2,1,Seafood,46
74,CDG,6/28/2018 15:35,DXB,C,Lunch,13,6,9,21,1,5,15,34,,3,,,12,,9,9,1,,,,,1,13,2,,0,0,0,0,2018,6,2,26,28,3,1,Poultry,53
74,CDG,6/28/2018 15:35,DXB,C,Lunch,13,6,9,21,1,5,15,34,,3,,,12,,9,9,1,,,,,1,13,2,,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,53
74,CDG,6/28/2018 15:35,DXB,C,Lunch,13,6,9,21,1,5,15,34,,3,,,12,,9,9,1,,,,,1,13,2,,0,1,0,0,2018,6,2,26,28,3,1,Seafood,53
81,DXB,6/22/2018 14:35,LYS,C,Lunch,,,7,17,2,,6,20,1,,,,18,,,,,,,,,,7,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,26
81,DXB,6/22/2018 14:35,LYS,C,Lunch,,,7,17,2,,6,20,1,,,,18,,,,,,,,,,7,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,26
81,DXB,6/22/2018 14:35,LYS,C,Lunch,,,7,17,2,,6,20,1,,,,18,,,,,,,,,,7,,,0,0,0,0,2018,6,2,25,22,4,1,Seafood,26
81,DXB,6/23/2018 14:35,LYS,C,Lunch,8,2,1,11,,1,6,15,,,,,13,,3,,,,,,,2,2,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,21
81,DXB,6/23/2018 14:35,LYS,C,Lunch,8,2,1,11,,1,6,15,,,,,13,,3,,,,,,,2,2,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,21
81,DXB,6/23/2018 14:35,LYS,C,Lunch,8,2,1,11,,1,6,15,,,,,13,,3,,,,,,,2,2,,,0,0,0,0,2018,6,2,25,23,5,1,Seafood,21
81,DXB,6/24/2018 14:35,LYS,C,Lunch,6,1,,11,,1,1,16,,,4,,5,,5,2,,,,,,2,,,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,18
81,DXB,6/24/2018 14:35,LYS,C,Lunch,6,1,,11,,1,1,16,,,4,,5,,5,2,,,,,,2,,,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,18
81,DXB,6/24/2018 14:35,LYS,C,Lunch,6,1,,11,,1,1,16,,,4,,5,,5,2,,,,,,2,,,,0,0,0,0,2018,6,2,25,24,6,1,Seafood,18
81,DXB,6/25/2018 14:35,LYS,C,Lunch,1,,1,2,,,3,1,,,,,3,,,1,,,,,,,,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,4
81,DXB,6/25/2018 14:35,LYS,C,Lunch,1,,1,2,,,3,1,,,,,3,,,1,,,,,,,,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,4
81,DXB,6/25/2018 14:35,LYS,C,Lunch,1,,1,2,,,3,1,,,,,3,,,1,,,,,,,,,,0,0,0,0,2018,6,2,26,25,0,1,Seafood,4
81,DXB,6/27/2018 14:35,LYS,C,Lunch,8,,1,9,1,,7,19,,,,,12,,1,1,,,,2,,1,,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,26
81,DXB,6/27/2018 14:35,LYS,C,Lunch,8,,1,9,1,,7,19,,,,,12,,1,1,,,,2,,1,,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,26
81,DXB,6/27/2018 14:35,LYS,C,Lunch,8,,1,9,1,,7,19,,,,,12,,1,1,,,,2,,1,,,,0,0,0,0,2018,6,2,26,27,2,1,Seafood,26
87,DXB,6/21/2018 8:40,ZRH,C,Lunch,15,5,8,23,4,3,18,40,1,2,5,3,14,5,1,16,,3,,,,,2,,,0,0,0,0,2018,6,2,25,21,3,1,Poultry,59
87,DXB,6/21/2018 8:40,ZRH,C,Lunch,15,5,8,23,4,3,18,40,1,2,5,3,14,5,1,16,,3,,,,,2,,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,59
87,DXB,6/21/2018 8:40,ZRH,C,Lunch,15,5,8,23,4,3,18,40,1,2,5,3,14,5,1,16,,3,,,,,2,,,0,0,0,0,2018,6,2,25,21,3,1,Seafood,59
87,DXB,6/22/2018 8:40,ZRH,C,Lunch,7,7,10,32,3,5,21,35,6,,10,,15,,11,6,,,,4,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,59
87,DXB,6/22/2018 8:40,ZRH,C,Lunch,7,7,10,32,3,5,21,35,6,,10,,15,,11,6,,,,4,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,59
87,DXB,6/22/2018 8:40,ZRH,C,Lunch,7,7,10,32,3,5,21,35,6,,10,,15,,11,6,,,,4,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Seafood,59
87,DXB,6/23/2018 8:40,ZRH,C,Lunch,19,5,6,28,1,8,24,40,,3,5,,23,6,7,8,1,,1,,,,4,1,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,72
87,DXB,6/23/2018 8:40,ZRH,C,Lunch,19,5,6,28,1,8,24,40,,3,5,,23,6,7,8,1,,1,,,,4,1,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,72
87,DXB,6/23/2018 8:40,ZRH,C,Lunch,19,5,6,28,1,8,24,40,,3,5,,23,6,7,8,1,,1,,,,4,1,,0,0,0,0,2018,6,2,25,23,5,1,Seafood,72
87,DXB,6/24/2018 8:40,ZRH,C,Lunch,19,2,3,28,1,3,20,34,1,,8,,8,7,7,8,,1,1,1,,3,8,,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,57
87,DXB,6/24/2018 8:40,ZRH,C,Lunch,19,2,3,28,1,3,20,34,1,,8,,8,7,7,8,,1,1,1,,3,8,,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,57
87,DXB,6/24/2018 8:40,ZRH,C,Lunch,19,2,3,28,1,3,20,34,1,,8,,8,7,7,8,,1,1,1,,3,8,,,0,0,0,0,2018,6,2,25,24,6,1,Seafood,57
87,DXB,6/25/2018 8:40,ZRH,C,Lunch,9,5,6,31,2,4,19,32,,9,8,4,10,3,11,2,,,1,3,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,54
87,DXB,6/25/2018 8:40,ZRH,C,Lunch,9,5,6,31,2,4,19,32,,9,8,4,10,3,11,2,,,1,3,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,54
87,DXB,6/25/2018 8:40,ZRH,C,Lunch,9,5,6,31,2,4,19,32,,9,8,4,10,3,11,2,,,1,3,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Seafood,54
87,DXB,6/26/2018 8:40,ZRH,C,Lunch,13,7,28,21,,7,28,39,6,,6,1,13,,2,14,,,,21,,1,5,,1,0,0,0,0,2018,6,2,26,26,1,1,Poultry,74
87,DXB,6/26/2018 8:40,ZRH,C,Lunch,13,7,28,21,,7,28,39,6,,6,1,13,,2,14,,,,21,,1,5,,1,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,74
87,DXB,6/26/2018 8:40,ZRH,C,Lunch,13,7,28,21,,7,28,39,6,,6,1,13,,2,14,,,,21,,1,5,,1,0,0,0,0,2018,6,2,26,26,1,1,Seafood,74
87,DXB,6/27/2018 8:40,ZRH,C,Lunch,9,,7,16,,2,18,30,1,,,1,17,,2,1,,1,1,3,,,2,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,50
87,DXB,6/27/2018 8:40,ZRH,C,Lunch,9,,7,16,,2,18,30,1,,,1,17,,2,1,,1,1,3,,,2,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,50
87,DXB,6/27/2018 8:40,ZRH,C,Lunch,9,,7,16,,2,18,30,1,,,1,17,,2,1,,1,1,3,,,2,,,0,0,0,0,2018,6,2,26,27,2,1,Seafood,50
87,DXB,6/28/2018 8:40,ZRH,C,Lunch,12,1,7,18,,3,29,32,3,1,6,3,12,2,2,1,,2,2,,,,2,1,,0,0,0,0,2018,6,2,26,28,3,1,Poultry,64
87,DXB,6/28/2018 8:40,ZRH,C,Lunch,12,1,7,18,,3,29,32,3,1,6,3,12,2,2,1,,2,2,,,,2,1,,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,64
87,DXB,6/28/2018 8:40,ZRH,C,Lunch,12,1,7,18,,3,29,32,3,1,6,3,12,2,2,1,,2,2,,,,2,1,,0,0,0,0,2018,6,2,26,28,3,1,Seafood,64
88,ZRH,6/21/2018 15:25,DXB,C,Lunch,12,3,10,28,3,3,19,35,,,3,1,12,1,4,27,2,,,,,,6,,,0,0,0,0,2018,6,2,25,21,3,1,Poultry,57
88,ZRH,6/21/2018 15:25,DXB,C,Lunch,12,3,10,28,3,3,19,35,,,3,1,12,1,4,27,2,,,,,,6,,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,57
88,ZRH,6/21/2018 15:25,DXB,C,Lunch,12,3,10,28,3,3,19,35,,,3,1,12,1,4,27,2,,,,,,6,,,0,0,0,0,2018,6,2,25,21,3,1,Seafood,57
88,ZRH,6/22/2018 15:25,DXB,C,Lunch,10,3,6,21,3,3,15,26,,4,3,,8,1,7,3,,2,2,,,1,12,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,44
88,ZRH,6/22/2018 15:25,DXB,C,Lunch,10,3,6,21,3,3,15,26,,4,3,,8,1,7,3,,2,2,,,1,12,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,44
88,ZRH,6/22/2018 15:25,DXB,C,Lunch,10,3,6,21,3,3,15,26,,4,3,,8,1,7,3,,2,2,,,1,12,,,0,0,0,0,2018,6,2,25,22,4,1,Seafood,44
88,ZRH,6/23/2018 15:25,DXB,C,Lunch,29,2,14,36,3,,31,55,1,4,7,1,27,6,8,13,2,,,,,,15,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,84
88,ZRH,6/23/2018 15:25,DXB,C,Lunch,29,2,14,36,3,,31,55,1,4,7,1,27,6,8,13,2,,,,,,15,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,84
88,ZRH,6/23/2018 15:25,DXB,C,Lunch,29,2,14,36,3,,31,55,1,4,7,1,27,6,8,13,2,,,,,,15,,,0,0,0,0,2018,6,2,25,23,5,1,Seafood,84
88,ZRH,6/24/2018 15:25,DXB,C,Lunch,11,3,3,23,,2,13,27,,,2,,17,6,,9,,1,,,,,3,1,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,41
88,ZRH,6/24/2018 15:25,DXB,C,Lunch,11,3,3,23,,2,13,27,,,2,,17,6,,9,,1,,,,,3,1,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,41
88,ZRH,6/24/2018 15:25,DXB,C,Lunch,11,3,3,23,,2,13,27,,,2,,17,6,,9,,1,,,,,3,1,,0,0,0,0,2018,6,2,25,24,6,1,Seafood,41
88,ZRH,6/25/2018 15:25,DXB,C,Lunch,12,2,10,28,1,2,17,35,,5,16,1,15,6,,2,,,1,5,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,54
88,ZRH,6/25/2018 15:25,DXB,C,Lunch,12,2,10,28,1,2,17,35,,5,16,1,15,6,,2,,,1,5,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,54
88,ZRH,6/25/2018 15:25,DXB,C,Lunch,12,2,10,28,1,2,17,35,,5,16,1,15,6,,2,,,1,5,,,2,,,0,0,0,0,2018,6,2,26,25,0,1,Seafood,54
88,ZRH,6/26/2018 15:25,DXB,C,Lunch,6,1,1,20,,,16,19,,,6,,7,3,6,2,,,,,,,4,,,0,0,0,0,2018,6,2,26,26,1,1,Poultry,34
88,ZRH,6/26/2018 15:25,DXB,C,Lunch,6,1,1,20,,,16,19,,,6,,7,3,6,2,,,,,,,4,,,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,34
88,ZRH,6/26/2018 15:25,DXB,C,Lunch,6,1,1,20,,,16,19,,,6,,7,3,6,2,,,,,,,4,,,0,0,0,0,2018,6,2,26,26,1,1,Seafood,34
88,ZRH,6/27/2018 15:25,DXB,C,Lunch,8,1,10,6,1,1,11,17,1,,,1,1,1,2,9,,,,,,,9,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,29
88,ZRH,6/27/2018 15:25,DXB,C,Lunch,8,1,10,6,1,1,11,17,1,,,1,1,1,2,9,,,,,,,9,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,29
88,ZRH,6/27/2018 15:25,DXB,C,Lunch,8,1,10,6,1,1,11,17,1,,,1,1,1,2,9,,,,,,,9,,,0,0,0,0,2018,6,2,26,27,2,1,Seafood,29
88,ZRH,6/28/2018 15:25,DXB,C,Lunch,6,,9,12,3,,12,19,,3,7,,4,1,6,4,,,,4,,,1,,,0,0,0,0,2018,6,2,26,28,3,1,Poultry,31
88,ZRH,6/28/2018 15:25,DXB,C,Lunch,6,,9,12,3,,12,19,,3,7,,4,1,6,4,,,,4,,,1,,,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,31
88,ZRH,6/28/2018 15:25,DXB,C,Lunch,6,,9,12,3,,12,19,,3,7,,4,1,6,4,,,,4,,,1,,,0,0,0,0,2018,6,2,26,28,3,1,Seafood,31
139,DXB,6/21/2018 8:35,PRG,C,Lunch,14,,24,15,1,,23,39,,,2,27,12,,7,1,,,,,,,5,,,0,0,0,0,2018,6,2,25,21,3,1,Poultry,62
139,DXB,6/21/2018 8:35,PRG,C,Lunch,14,,24,15,1,,23,39,,,2,27,12,,7,1,,,,,,,5,,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,62
139,DXB,6/21/2018 8:35,PRG,C,Lunch,14,,24,15,1,,23,39,,,2,27,12,,7,1,,,,,,,5,,,0,0,0,0,2018,6,2,25,21,3,1,Seafood,62
139,DXB,6/22/2018 8:35,PRG,C,Lunch,27,6,5,26,3,6,23,38,4,2,1,5,31,2,14,2,,,,,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,67
139,DXB,6/22/2018 8:35,PRG,C,Lunch,27,6,5,26,3,6,23,38,4,2,1,5,31,2,14,2,,,,,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,67
139,DXB,6/22/2018 8:35,PRG,C,Lunch,27,6,5,26,3,6,23,38,4,2,1,5,31,2,14,2,,,,,,,6,,,0,0,0,0,2018,6,2,25,22,4,1,Seafood,67
139,DXB,6/23/2018 8:35,PRG,C,Lunch,18,6,3,54,,5,39,52,,,66,,6,,,4,,,,1,,1,3,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,95
139,DXB,6/23/2018 8:35,PRG,C,Lunch,18,6,3,54,,5,39,52,,,66,,6,,,4,,,,1,,1,3,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,95
139,DXB,6/23/2018 8:35,PRG,C,Lunch,18,6,3,54,,5,39,52,,,66,,6,,,4,,,,1,,1,3,,,0,0,0,0,2018,6,2,25,23,5,1,Seafood,95
139,DXB,6/24/2018 8:35,PRG,C,Lunch,13,3,6,39,2,3,23,46,1,3,13,6,13,,10,1,,,,4,,2,8,,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,72
139,DXB,6/24/2018 8:35,PRG,C,Lunch,13,3,6,39,2,3,23,46,1,3,13,6,13,,10,1,,,,4,,2,8,,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,72
139,DXB,6/24/2018 8:35,PRG,C,Lunch,13,3,6,39,2,3,23,46,1,3,13,6,13,,10,1,,,,4,,2,8,,,0,0,0,0,2018,6,2,25,24,6,1,Seafood,72
139,DXB,6/25/2018 8:35,PRG,C,Lunch,17,5,4,25,,5,17,30,4,4,8,,15,,4,3,,,,,,1,11,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,52
139,DXB,6/25/2018 8:35,PRG,C,Lunch,17,5,4,25,,5,17,30,4,4,8,,15,,4,3,,,,,,1,11,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,52
139,DXB,6/25/2018 8:35,PRG,C,Lunch,17,5,4,25,,5,17,30,4,4,8,,15,,4,3,,,,,,1,11,,,0,0,0,0,2018,6,2,26,25,0,1,Seafood,52
139,DXB,6/26/2018 8:35,PRG,C,Lunch,8,,5,16,,,14,18,,5,3,,10,1,2,2,,,,,,1,4,,,0,0,0,0,2018,6,2,26,26,1,1,Poultry,32
139,DXB,6/26/2018 8:35,PRG,C,Lunch,8,,5,16,,,14,18,,5,3,,10,1,2,2,,,,,,1,4,,,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,32
139,DXB,6/26/2018 8:35,PRG,C,Lunch,8,,5,16,,,14,18,,5,3,,10,1,2,2,,,,,,1,4,,,0,0,0,0,2018,6,2,26,26,1,1,Seafood,32
139,DXB,6/27/2018 8:35,PRG,C,Lunch,,,8,11,1,,8,21,,2,,,7,,1,2,,,,2,,,3,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,29
139,DXB,6/27/2018 8:35,PRG,C,Lunch,,,8,11,1,,8,21,,2,,,7,,1,2,,,,2,,,3,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,29
139,DXB,6/27/2018 8:35,PRG,C,Lunch,,,8,11,1,,8,21,,2,,,7,,1,2,,,,2,,,3,,,0,0,0,0,2018,6,2,26,27,2,1,Seafood,29
139,DXB,6/28/2018 8:35,PRG,C,Lunch,7,1,3,7,,1,9,13,,1,,3,13,,,,,,,,,,,,,0,0,0,0,2018,6,2,26,28,3,1,Poultry,23
139,DXB,6/28/2018 8:35,PRG,C,Lunch,7,1,3,7,,1,9,13,,1,,3,13,,,,,,,,,,,,,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,23
139,DXB,6/28/2018 8:35,PRG,C,Lunch,7,1,3,7,,1,9,13,,1,,3,13,,,,,,,,,,,,,0,0,0,0,2018,6,2,26,28,3,1,Seafood,23
140,PRG,6/21/2018 15:55,DXB,C,Lunch,14,2,6,24,1,1,20,28,3,2,5,3,20,,2,1,,,,,,,10,1,,0,0,0,0,2018,6,2,25,21,3,1,Poultry,48
140,PRG,6/21/2018 15:55,DXB,C,Lunch,14,2,6,24,1,1,20,28,3,2,5,3,20,,2,1,,,,,,,10,1,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,48
140,PRG,6/21/2018 15:55,DXB,C,Lunch,14,2,6,24,1,1,20,28,3,2,5,3,20,,2,1,,,,,,,10,1,,0,1,0,0,2018,6,2,25,21,3,1,Seafood,48
140,PRG,6/22/2018 15:55,DXB,C,Lunch,15,2,6,33,1,2,19,36,3,1,2,2,20,1,6,13,,2,,,,1,6,,,0,0,0,0,2018,6,2,25,22,4,1,Poultry,57
140,PRG,6/22/2018 15:55,DXB,C,Lunch,15,2,6,33,1,2,19,36,3,1,2,2,20,1,6,13,,2,,,,1,6,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,57
140,PRG,6/22/2018 15:55,DXB,C,Lunch,15,2,6,33,1,2,19,36,3,1,2,2,20,1,6,13,,2,,,,1,6,,,0,1,0,0,2018,6,2,25,22,4,1,Seafood,57
140,PRG,6/23/2018 15:55,DXB,C,Lunch,37,,8,33,1,,30,49,,3,6,5,27,,18,5,,,,1,,,13,,,0,0,0,0,2018,6,2,25,23,5,1,Poultry,79
140,PRG,6/23/2018 15:55,DXB,C,Lunch,37,,8,33,1,,30,49,,3,6,5,27,,18,5,,,,1,,,13,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,79
140,PRG,6/23/2018 15:55,DXB,C,Lunch,37,,8,33,1,,30,49,,3,6,5,27,,18,5,,,,1,,,13,,,0,1,0,0,2018,6,2,25,23,5,1,Seafood,79
140,PRG,6/24/2018 15:55,DXB,C,Lunch,23,1,5,21,,3,21,33,1,3,6,3,14,,9,8,,,,,,1,5,,,0,0,0,0,2018,6,2,25,24,6,1,Poultry,57
140,PRG,6/24/2018 15:55,DXB,C,Lunch,23,1,5,21,,3,21,33,1,3,6,3,14,,9,8,,,,,,1,5,,,0,0,0,0,2018,6,2,25,24,6,1,Red Meat,57
140,PRG,6/24/2018 15:55,DXB,C,Lunch,23,1,5,21,,3,21,33,1,3,6,3,14,,9,8,,,,,,1,5,,,0,1,0,0,2018,6,2,25,24,6,1,Seafood,57
140,PRG,6/25/2018 15:55,DXB,C,Lunch,14,7,9,19,3,7,13,36,2,,5,1,12,,18,3,,,,,,1,10,,,0,0,0,0,2018,6,2,26,25,0,1,Poultry,56
140,PRG,6/25/2018 15:55,DXB,C,Lunch,14,7,9,19,3,7,13,36,2,,5,1,12,,18,3,,,,,,1,10,,,0,0,0,0,2018,6,2,26,25,0,1,Red Meat,56
140,PRG,6/25/2018 15:55,DXB,C,Lunch,14,7,9,19,3,7,13,36,2,,5,1,12,,18,3,,,,,,1,10,,,0,1,0,0,2018,6,2,26,25,0,1,Seafood,56
140,PRG,6/26/2018 15:55,DXB,C,Lunch,4,2,9,11,,2,12,16,,1,,2,1,1,6,3,,,,,,,12,,,0,0,0,0,2018,6,2,26,26,1,1,Poultry,30
140,PRG,6/26/2018 15:55,DXB,C,Lunch,4,2,9,11,,2,12,16,,1,,2,1,1,6,3,,,,,,,12,,,0,0,0,0,2018,6,2,26,26,1,1,Red Meat,30
140,PRG,6/26/2018 15:55,DXB,C,Lunch,4,2,9,11,,2,12,16,,1,,2,1,1,6,3,,,,,,,12,,,0,1,0,0,2018,6,2,26,26,1,1,Seafood,30
140,PRG,6/27/2018 15:55,DXB,C,Lunch,14,3,6,13,,3,14,19,1,1,2,2,7,,4,11,,,,2,,,6,,,0,0,0,0,2018,6,2,26,27,2,1,Poultry,36
140,PRG,6/27/2018 15:55,DXB,C,Lunch,14,3,6,13,,3,14,19,1,1,2,2,7,,4,11,,,,2,,,6,,,0,0,0,0,2018,6,2,26,27,2,1,Red Meat,36
140,PRG,6/27/2018 15:55,DXB,C,Lunch,14,3,6,13,,3,14,19,1,1,2,2,7,,4,11,,,,2,,,6,,,0,1,0,0,2018,6,2,26,27,2,1,Seafood,36
140,PRG,6/28/2018 15:55,DXB,C,Lunch,7,1,4,13,2,1,10,17,,3,12,,2,,3,,,,,,,,7,,,0,0,0,0,2018,6,2,26,28,3,1,Poultry,28
140,PRG,6/28/2018 15:55,DXB,C,Lunch,7,1,4,13,2,1,10,17,,3,12,,2,,3,,,,,,,,7,,,0,0,0,0,2018,6,2,26,28,3,1,Red Meat,28
140,PRG,6/28/2018 15:55,DXB,C,Lunch,7,1,4,13,2,1,10,17,,3,12,,2,,3,,,,,,,,7,,,0,1,0,0,2018,6,2,26,28,3,1,Seafood,28
201,DXB,6/21/2018 8:30,JFK,C,Lunch,16,7,17,44,11,7,43,46,5,32,17,,7,,10,19,,,,,,,,,,0,0,0,0,2018,6,2,25,21,3,1,Pasta or Vegetarian,96
201,DXB,6/21/2018 8:30,JFK,C,Lunch,16,7,17,44,11,7,43,46,5,32,17,,7,,10,19,,,,,,,,,,0,1,0,0,2018,6,2,25,21,3,1,Poultry,96
201,DXB,6/21/2018 8:30,JFK,C,Lunch,16,7,17,44,11,7,43,46,5,32,17,,7,,10,19,,,,,,,,,,0,0,0,0,2018,6,2,25,21,3,1,Red Meat,96
201,DXB,6/22/2018 8:30,JFK,C,Lunch,27,5,10,41,14,3,41,59,11,29,17,,3,1,7,16,,,,,,1,5,,,0,0,0,0,2018,6,2,25,22,4,1,Pasta or Vegetarian,101
201,DXB,6/22/2018 8:30,JFK,C,Lunch,27,5,10,41,14,3,41,59,11,29,17,,3,1,7,16,,,,,,1,5,,,0,1,0,0,2018,6,2,25,22,4,1,Poultry,101
201,DXB,6/22/2018 8:30,JFK,C,Lunch,27,5,10,41,14,3,41,59,11,29,17,,3,1,7,16,,,,,,1,5,,,0,0,0,0,2018,6,2,25,22,4,1,Red Meat,101
201,DXB,6/23/2018 8:30,JFK,C,Lunch,39,5,5,31,7,6,28,61,2,13,18,,6,1,6,25,,,,,,,14,,,0,0,0,0,2018,6,2,25,23,5,1,Pasta or Vegetarian,95
201,DXB,6/23/2018 8:30,JFK,C,Lunch,39,5,5,31,7,6,28,61,2,13,18,,6,1,6,25,,,,,,,14,,,0,1,0,0,2018,6,2,25,23,5,1,Poultry,95
201,DXB,6/23/2018 8:30,JFK,C,Lunch,39,5,5,31,7,6,28,61,2,13,18,,6,1,6,25,,,,,,,14,,,0,0,0,0,2018,6,2,25,23,5,1,Red Meat,95
201,DXB,6/24/2018 8:30,JFK,C,Lunch,29,4,7,45,8,3,25,73,1,32,13,,10,,4,15,2,,1,,,3,7,1,,0,0,0,0,2018,6,2,25,24,6,1,Pasta or Vegetarian,100
